Name,Beer Name (Full),ABV
Southampton May Bock,Southampton Publick House Southampton May Bock,"0,07"
Früh Bock,The Olde Mecklenburg Brewery Fruehbock (Früh Bock),"0,06"
Bock-Bier,Mahrs-Bräu Mahr's Bock-Bier,"0,07"
Brinkley's Maibock,Free State Brewing Co. Brinkley's Maibock,"0,07"
Heller Bock Saphir,Brauerei Hofstetten Krammer GmbH & Co. KG Saphir Bock,"0,07"
Gruffmeister 8,Foothills Brewing Company Gruffmeister 8,"0,08"
Ramstein Maibock,High Point Brewing Company Ramstein Maibock,"0,07"
Dump Truck,"Bayern Brewing, Inc. Dump Truck","0,06"
Samuel Adams Winter LagerBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Winter Lager,"0,06"
Shiner Bock,Spoetzl Brewery Shiner Bock,"0,04"
Samuel Adams Chocolate BockBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Chocolate Bock,"0,06"
Michelob AmberBock,Anheuser-Busch Michelob Amber Bock,"0,05"
Samuel Adams Cherry Chocolate BockBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Chocolate Cherry Bock,"0,06"
Uff-da,New Glarus Brewing Company Uff-da,"0,07"
The Vixen Chocolate Chili BockBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Chocolate Chili Bock,"0,09"
St. Nikolaus Bock Bier,Pennsylvania Brewing Company St. Nikolaus Bock Bier,"0,06"
Spring Bock,Saint Arnold Brewing Company Saint Arnold Spring Bock,"0,07"
Pandora's Bock,Breckenridge Brewery Pandora's Bock,"0,08"
Genesee Spring Bock,Genesee Brewing Co. / Dundee Brewing Co. Genesee Bock,"0,05"
Ur-Bock Dunkel,Einbecker Brauhaus AG Einbecker Ur-Bock Dunkel,"0,07"
La Trappe Bockbier,Bierbrouwerij De Koningshoeven B.V. La Trappe Bockbier,"0,07"
Christmas Bock,Mahrs-Bräu Mahr's Christmas Bock,"0,06"
Noche Buena,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V. Noche Buena","0,06"
Schell's Bock,August Schell Brewing Company Schell's Bock,"0,06"
Schokolade Bock,Millstream Brewing Company Millstream Schokolade Bock,"0,06"
Saranac Chocolate Lager,Matt Brewing Company Saranac Chocolate Lager,"0,06"
Brother Benedict's Bock,Granite City Food & Brewery Brother Benedict's Bock,"0,05"
Winterbock,Atwater Block Brewery Atwater Winter Bock,"0,08"
Creemore Springs UrBock,Creemore Springs Brewery Limited Creemore Springs UrBock,"0,06"
Mountain Holidays In Vermont,Rock Art Brewery Mountain Holidays In Vermont Rich Creamy Bock Lager,"0,06"
Huber Bock Beer,Minhas Craft Brewery Huber Bock Beer,"0,06"
Kozlak,Browar Amber Kozlak,"0,07"
Nero's 1st Century Double Dark Malt Ale,Amarcord Birra Artigianale Italiana Nero's 1st Century Double Dark Malt Ale,"0,08"
Bokbier,Jopen Bier BV Haarlem Jopen Bokbier,"0,07"
Mönchshof Bockbier,Kulmbacher Brauerei AG Mönchshof Bockbier,"0,07"
Battlefield Bock,Red Oak Brewery Battlefield Bock,"0,07"
Chouffe-Bok 6666,Brasserie d'Achouffe Chouffe-Bok,"0,07"
Christoffel Bokbier,Bierbrouwerij Sint Christoffel B.V Christoffel Bokbier,"0,08"
Aass Bock,Aass Brewery Aass Bock,"0,07"
Stegmaier Brewhouse Bock,"Lion Brewery, Inc. Stegmaier Brewhouse Bock","0,07"
Bock De Joliette,Micro-Brasserie L'Alchimiste Bock De Joliette,"0,06"
Dreher Bak,Dreher Brewery Dreher Bak,"0,07"
Schneider Weisse Tap 6 Unser Aventinus,Weisses Bräuhaus G. Schneider & Sohn GmbH Schneider Aventinus,"0,08"
Vitus,Bayerische Staatsbrauerei Weihenstephan Weihenstephaner Vitus,"0,08"
Moonglow Weizenbock,Victory Brewing Company Moonglow Weizenbock,"0,09"
Bavarian-Styled Doppel Weizen,Lagunitas Brewing Company Bavarian-Styled Doppel Weizen,"0,09"
Erdinger Weissbier Pikantus,Erdinger Weissbräu Erdinger Weissbier Pikantus,"0,07"
Ramstein Winter Wheat,High Point Brewing Company Ramstein Winter Wheat,"0,10"
Schneider Weisse Tap X Mein Nelson Sauvin,Weisses Bräuhaus G. Schneider & Sohn GmbH Schneider Weisse Tap X Mein Nelson Sauvin,"0,07"
Primus Weizenbock,Live Oak Brewing Company Live Oak Primus Weizenbock,"0,08"
Der Weisse Bock,Mahrs-Bräu Der Weisse Bock,"0,09"
Plank Bavarian Heller Weizenbock,Brauerei Michael Plank Plank Bavarian Heller Weizenbock,"0,08"
Plank Bavarian Dunkler Weizenbock,Brauerei Michael Plank Plank Bavarian Dunkler Weizenbock,"0,08"
La Shawinigan Handshake,Le Trou Du Diable La Shawinigan Handshake,"0,07"
Weizenbock Grande Cuvée,Les Trois Mousquetaires Weizenbock Grande Cuvée,"0,11"
Eisenbahn Vigorosa (Weizenbock),Cervejaria Sudbrack Ltda Eisenbahn Vigorosa (Weizenbock),"0,08"
Alpen Glow,Fat Heads Brewery & Saloon Alpen Glow Weizenbock,"0,07"
Weiss Principal Imperial Hefe,Peak Organic Brewing Company Peak Organic Weiss Principal,"0,09"
Teufel Bock,Atwater Block Brewery Teufel Bock,"0,11"
Face Plant,"Bayern Brewing, Inc. Face Plant Doppelweizen","0,08"
Hopf Weisser Bock,Weissbierbrauerei Hopf Hopf Weisser Bock,"0,07"
Angry Goat,Rahr & Sons Brewing Company Angry Goat,"0,08"
Weizenbock,Pennsylvania Brewing Company Weizenbock,"0,08"
Volks Weizenbock,Appalachian Brewing Company Volks Weizenbock,"0,07"
Weizen Bock,Scuttlebutt Brewing Company Weizen Bock,"0,08"
Heineken Tarwebok,Heineken Nederland B.V. Heineken Tarwebok,"0,07"
Weizenbock,Olde Hickory Brewery Weizenbock,"0,08"
Yule Tide (2015+),Heavy Seas Beer Heavy Seas - Yule Tide,"0,09"
St. Blasius Weizenbock,Aktien-Brauerei Kaufbeuren AG St. Blasius Weizenbock,"0,07"
Summer Haze Pale Weizenbock,Blue Mountain Brewery Summer Haze Pale Weizenbock,"0,08"
Maximilian,Urban Chestnut Brewing Company Maximilian,"0,08"
Weizenbock,Mill Street Brew Pub Mill Street Weizenbock,"0,08"
Portsmouth Weizenbock,Portsmouth Brewery Portsmouth Weizenbock,"0,07"
DumDuminator,Les Brasseurs Du Temps DumDuminator,"0,08"
Braggot,Kuhnhenn Brewing Company Kuhnhenn Braggot,"0,13"
Baklava Braggot,Jackie O's Pub & Brewery Baklava Braggot,"0,08"
Slippery Slope,The People's Pint Slippery Slope,"0,10"
Old Danish Braggot,Dansk Mjød A/S Old Danish Braggot,"0,10"
Portsmouth Killer B,Portsmouth Brewery Portsmouth Killer Bee,"0,10"
Biere De Miele,Rabbit's Foot Meadery Biere De Miele,"0,04"
Mjød,Valkyrie Brewing Mjød,"0,09"
Premium Oak Brackett,"White Winter Winery, Inc. Premium Oak Brackett","0,10"
Hummingbird,Mountain Sun Pub & Brewery Hummingbird,"0,08"
Braggot,Crabtree Brewing Company Braggot,"0,08"
White Winter Brackett,"White Winter Winery, Inc. White Winter Brackett","0,05"
"Honey, I Can Explain","South Street Brewery Honey, I Can Explain","0,07"
Saku Mõdu,Saku Brewery LTD Saku Mõdu,"0,04"
Spring Braggot,Craftsman Brewing Co. Craftsman Spring Braggot,"0,08"
Sanctification,Russian River Brewing Company Sanctification,"0,05"
Wild Devil,Victory Brewing Company Wild Devil,"0,07"
Defenestration,Russian River Brewing Company Defenestration,"0,07"
Indian Brown Ale,Dogfish Head Brewery Indian Brown Ale,"0,07"
Palo Santo Marron,Dogfish Head Brewery Palo Santo Marron,"0,12"
Hazelnut Brown Nectar,Rogue Ales Hazelnut Brown Nectar,"0,06"
Moose Drool Brown Ale,Big Sky Brewing Company Moose Drool Brown Ale,"0,05"
Old Brown Dog,Smuttynose Brewing Company Smuttynose Old Brown Dog Ale,"0,07"
Coffee Bender,Surly Brewing Company Coffee Bender,"0,06"
Wilco Tango Foxtrot,Lagunitas Brewing Company Wilco Tango Foxtrot,"0,08"
Brown Ale,Brooklyn Brewery Brooklyn Brown Ale,"0,06"
Ellie's Brown Ale,Avery Brewing Company Ellie's Brown Ale,"0,06"
Bender,Surly Brewing Company Bender,"0,06"
Sumatra Mountain Brown,Founders Brewing Company Founders Sumatra Mountain Brown,"0,09"
Koko Brown,Kona Brewing Co. Koko Brown,"0,06"
Pecan Ale,Abita Brewing Co. Pecan Harvest Ale,"0,05"
Maple Nut Brown Ale,Tommyknocker Brewery Maple Nut Brown Ale,"0,05"
Rocky's Revenge Bourbon Brown,Tyranena Brewing Company Rocky's Revenge Bourbon Brown,"0,06"
Brekle's Brown,Anchor Brewing Company Brekle's Brown,"0,06"
Bellaire Brown Ale,Short's Brewing Company Short's Bellaire Brown Ale,"0,07"
George,Hill Farmstead Brewery George,"0,06"
Brown Ale,The Duck-Rabbit Craft Brewery Duck-Rabbit Brown Ale,"0,06"
Dos Perros,Yazoo Brewing Company Dos Perros,"0,05"
Imperial Nut Brown Ale,Tommyknocker Brewery Imperial Nut Brown Ale,"0,09"
Peter Brown Tribute Ale,Bear Republic Brewing Co. Pete's Brown (Tribute Ale),"0,06"
Good Humans Ale (Dry Hopped Double Brown Ale),Short's Brewing Company Good Humans,"0,09"
Sweet Josie Brown Ale,Lonerider Brewing Sweet Josie Brown Ale,"0,06"
Bravo 2017,Firestone Walker Brewing Co. Bravo Brown,"0,13"
Flashback Ale,Boulder Beer / Wilderness Pub Flashback Ale,"0,07"
Madtown Nutbrown,Ale Asylum Mad Town Nut Brown,"0,06"
Over Ale,Half Acre Beer Company Over Ale,"0,06"
Leffe Brune / Brown,Abbaye de Leffe S.A. Leffe Brune / Brown,"0,07"
Noire De Chambly / Chambly Noire,Unibroue Noire De Chambly / Chambly Noire,"0,06"
Belgian Freeze Belgian Style Winter Ale,River Horse Brewing Co. River Horse Belgian Freeze Belgian Style Winter Ale,"0,08"
Cold Front,Ithaca Beer Company Cold Front,"0,07"
Grottenbier,Brouwerij St. Bernardus NV Grottenbier,"0,07"
Rejection,Russian River Brewing Company Rejection,"0,06"
La Rullés Cuvée Meilleurs Voeux (Bière De Gaume),Brasserie Artisanale De Rullés SPRL La Rullés Cuvée Meilleurs Voeux (Bière De Gaume),"0,07"
Werewolf,Rinkuškiai Alaus Darykloje Werewolf,"0,08"
Tempelier,Brouwerij Corsendonk Tempelier,"0,06"
Bink Bruin,Brouwerij Kerkom Bink Bruin,"0,06"
Biscotti,Lift Bridge Brewery Biscotti,"0,07"
Fullsuit Belgian-Style Brown Ale,Karl Strauss Brewing Company Fullsuit Belgian-Style Brown Ale,"0,06"
D’Tango Unchained,Weyerbacher Brewing Co. Tango,"0,10"
Winter Koninck,Brouwerij De Koninck NV Winter Koninck,"0,07"
Tongerlo 6 Dubbel Bruin,Brouwerij Haacht NV Tongerlo 6 Dubbel Bruin,"0,07"
Bière De Noël,Brasserie Thiriez Bière De Noël,"0,06"
Abbey Ale,Cathedral Square Brewery Belgian-Style Abbey Ale,"0,07"
Leffe De Noël,Abbaye de Leffe S.A. Leffe De Noël,"0,07"
Proletary Ale,The Brewer's Art Brewer's Art Proletary Ale,"0,05"
Black Jack (Bourbon Barrel Aged),North by Northwest Restaurant & Brewery Black Jack (Bourbon Barrel Aged),"0,00"
La Rullés Brune (Bière De Gaume),Brasserie Artisanale De Rullés SPRL La Rullés Brune (Bière De Gaume),"0,07"
La Petite Mort,Black Raven Brewing Co. La Petite Mort,"0,09"
Leffe Rossa,Abbaye de Leffe S.A. Leffe Rossa,"0,07"
North By Northwest Okanogan Black Ale,North by Northwest Restaurant & Brewery North By Northwest Okanogan Black Ale,"0,00"
Valeir Donker,Brouwerij Contreras Valeir Donker,"0,07"
Blind Ambition,Ladyface Ale Companie Blind Ambition,"0,06"
Nut Brown AleSamuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Nut Brown Ale,"0,05"
Maduro Brown Ale,Cigar City Brewing Maduro Oatmeal Brown Ale,"0,06"
Turbodog,Abita Brewing Co. Turbodog,"0,06"
Southern Pecan,Lazy Magnolia Brewing Company Southern Pecan,"0,05"
Fat Squirrel Ale,New Glarus Brewing Company Fat Squirrel Ale,"0,06"
Cubano-Style Espresso Brown Ale,Cigar City Brewing Maduro Oatmeal Brown Ale - Cubano-Style Espresso,"0,06"
Nut Brown Ale,AleSmith Brewing Company AleSmith Nautical Nut Brown Ale,"0,05"
Downtown Brown,Lost Coast Brewery and Cafe Downtown Brown,"0,05"
Winter Ale,Weyerbacher Brewing Co. Winter Ale,"0,06"
Georgia Brown,SweetWater Brewing Company Sweetwater Georgia Brown,"0,05"
Harvest,Long Trail Brewing Co. Harvest,"0,04"
Boffo Brown Ale,Dark Horse Brewing Company Dark Horse Boffo Brown Ale,"0,07"
Oatmeal Raisin Cookie Brown Ale,Cigar City Brewing Maduro Oatmeal Brown Ale - Oatmeal Raisin Cookie,"0,06"
Rugged Trail Nut Brown Ale,Tröegs Brewing Company Tröegs Rugged Trail Nut Brown Ale,"0,05"
Black Toad Dark Ale,Black Toad Brewing Co. Black Toad Dark Ale,"0,05"
Brown Ale,Legend Brewing Co. Brown Ale,"0,06"
Brewhouse Brown Ale,Real Ale Brewing Company Brewhouse Brown Ale,"0,05"
Nut Brown Ale,Ithaca Beer Company Nut Brown Ale,"0,05"
Pig's Ear Brown Ale,Woodstock Inn Brewery Pig's Ear Brown Ale,"0,04"
Chomolungma,Jackie O's Pub & Brewery Chomolungma,"0,07"
Nut Brown Ale,Peak Organic Brewing Company Peak Organic Nut Brown Ale,"0,05"
Woodmaster,Short's Brewing Company Short's The Woodmaster,"0,10"
Bad Penny,Big Boss Brewing Bad Penny Brown Ale,"0,05"
Euforia,DuClaw Brewing Company Euphoria,"0,05"
Brown Ale,Upslope Brewing Company Brown Ale,"0,07"
Brunette Nut Brown Ale,Nebraska Brewing Company NBC Brunette Nut Brown Ale,"0,05"
Nut Brown Ale,Santa Fe Brewing Company Nut Brown Ale,"0,05"
Brown Ale,Saint Arnold Brewing Company Saint Arnold Brown Ale,"0,05"
Truck Stop Honey Brown Ale,Back Forty Beer Co. Truck Stop Honey Brown Ale,"0,06"
Buster Nut Brown Ale,Ska Brewing Co. Buster Nut Brown Ale,"0,05"
Pullman Nut Brown,Flossmoor Station Restaurant & Brewery Pullman Brown Ale,"0,06"
Nut Brown Ale,Arcadia Brewing Company Arcadia Nut Brown Ale,"0,06"
Heritage Coffee Brown Ale,Alaskan Brewing Co. Alaskan Heritage Coffee Brown Ale,"0,07"
Traditional Ale,Big Rock Brewery Traditional Ale,"0,05"
Ring Neck Braun Ale,Brau Brothers Brewing Co. LLC Ring Neck Braun Ale,"0,07"
Bone Shaker Brown,Moat Mountain Smoke House & Brewing Co. Moat Brown,"0,06"
Brewer's Brown Ale,Shipyard Brewing Co. Brewer's Brown Ale,"0,05"
Geary's Autumn Ale,D.L. Geary Brewing Company Geary's Autumn Ale,"0,06"
Pub Brown Ale,Sprecher Brewing Company Pub Brown Ale,"0,05"
Third Stone Brown,Empyrean Brewing Company Third Stone Brown,"0,05"
Anchor Steam Beer,Anchor Brewing Company Anchor Steam Beer,"0,05"
Dorothy's New World Lager,Toppling Goliath Brewing Company Dorothy's New World Lager,"0,06"
Oscura,Furthermore Beer Oscura,"0,05"
Dampf Loc,Local Option Dampf Loc,"0,05"
Steam Engine Lager,Steamworks Brewing Co. Steam Engine Lager,"0,06"
Village Reserve,Short's Brewing Company Short's Village Reserve,"0,05"
Hop Common,Peekskill Brewery Hop Common,"0,06"
The Citizen,Cismontane Brewing Company The Citizen,"0,06"
Skjálfti,Ölvisholt Brugghús Skjálfti,"0,05"
Mountain Goat Steam Ale,Mountain Goat Beer Pty Ltd Mountain Goat Steam Ale,"0,05"
Rio Grande Outlaw LagerSierra Blanca Brewing Company (Rio Grande),Sierra Blanca Brewing Company (Rio Grande) Rio Grande Outlaw Lager,"0,05"
Steamy Windows,Liberty Street Brewing Company Steamy Windows,"0,06"
Boston Common,Beer Works Boston Common,"0,05"
Mosquito Beach,Lake Louie Brewery Company Mosquito Beach,"0,06"
Red Bird Ale,Portsmouth Brewing Co. / Mault's Brewpub Portsmouth Brewing Red Bird Ale,"0,05"
Steamhead,Aviator Brewing Company Steamhead,"0,06"
1888,Anaheim Brewery 1888.0,"0,06"
Urban People's Common Lager,Linden Street Brewery Urban People's Common Lager,"0,06"
Aftershock,Palmetto Brewing Company Palmetto Aftershock,"0,06"
Westy,Sun King Brewing Company Westy,"0,07"
Theobroma,Dogfish Head Brewery Theobroma,"0,09"
Chipotle Ale,Rogue Ales Chipotle Ale,"0,05"
Ghost Face Killah,Twisted Pine Brewing Company Ghost Face Killah,"0,05"
5 Vulture,5 Rabbit Cerveceria 5 Vulture,"0,06"
Billy's Chilies Beer (Timberline Series),Twisted Pine Brewing Company Billy's Chilies Beer (Timberline Series),"0,05"
Fatali Four,Upright Brewing Company Fatali Four,"0,05"
Jalapeño Pepper Ale,Bent River Brewing Company Jalapeño Pepper Ale,"0,05"
Hot-Jala-Heim,Horseheads Brewing Inc. Hot-Jala-Heim,"0,07"
Rio Grande Pancho Verde Chile CervezaSierra Blanca Brewing Company (Rio Grande),Sierra Blanca Brewing Company (Rio Grande) Rio Grande Pancho Verde Chile Cerveza,"0,05"
Patty's Chile Beer,Wynkoop Brewing Company Patty's Chile Beer,"0,04"
Fire Escape,Asheville Brewing Company Fire Escape,"0,06"
Fuego,Twisted X Brewing Company Fuego,"0,07"
Spicy Bohemian,Throwback Brewery Throwback Spicy Bohemian,"0,05"
Chili Pepper Ale,Six Rivers Brewery Chili Pepper Ale,"0,06"
Li'L Lucy's Hot Pepper Ale,Weston Brewing Company & O'Malley's Pub Li'L Lucy's Hot Pepper Ale,"0,05"
Chili Tripel,Midtfyns Bryghus Midtfyns Chili Tripel,"0,09"
Green Chile Lager,Tommyknocker Brewery Chili Lager,"0,05"
Hot Chocolate,Valkyrie Brewing Hot Chocolate,"0,05"
Sigda's Green Chili,Coopersmith's Pub & Brewing Sigda's Green Chili,"0,05"
Wildfire Lager,Fitger's Brewhouse Wildfire Lager,"0,05"
Tri-Pepper PilsenerGreat Dane Pub & Brewing Company (Downtown),Great Dane Pub & Brewing Company (Downtown) Tri-Pepper Pilsener,"0,05"
El Lapino,Microbrasserie du Lièvre El Lapino,"0,05"
Ring Of Fire,Dragonmead Microbrewery Dragonmead Ring Of Fire,"0,07"
Green Chili Beer,Flat Branch Pub & Brewery Green Chili Beer,"0,05"
Chili Beer,Calapooia Brewing Company Chili Beer,"0,05"
Spotted Cow,New Glarus Brewing Company Spotted Cow,"0,05"
Summer Solstice,Anderson Valley Brewing Company Summer Solstice Cerveza Crema,"0,05"
Genesee Cream Ale,Genesee Brewing Co. / Dundee Brewing Co. Genesee Cream Ale,"0,05"
Wexford Irish Cream Ale,Greene King / Morland Brewery Wexford Irish Cream Ale,"0,05"
Sunlight Cream Ale,Sun King Brewing Company Sunlight Cream Ale,"0,05"
Golden Ale,Terrapin Beer Company Terrapin Golden Ale,"0,05"
Little Kings Cream Ale,Hudepohl-Schoenling Brewing Co. Little Kings Cream Ale,"0,06"
Carolina Blonde,Foothills Brewing Company Carolina Blonde,"0,04"
Kiwanda Cream Ale,Pelican Pub & Brewery Kiwanda Cream Ale,"0,05"
Derailed Black Cherry Cream Ale,Erie Brewing Co. Derailed Black Cherry Ale,"0,05"
Cream Ale,Muskoka Brewery Dry Hopped Cream Ale,"0,05"
Kentucky Vanilla Barrel Cream Ale,Alltech’s Lexington Brewing and Distilling Co. Kentucky Cream Ale,"0,06"
Sleeman Cream Ale (64*),Sleeman Breweries Ltd. Sleeman Cream Ale (64*),"0,05"
Flagship Ale,Grey Sail Brewing of Rhode Island Flagship Ale,"0,05"
Stillwater Vanilla Cream Ale,Thomas Creek Brewery Stillwater Vanilla Cream Ale,"0,05"
Killer Whale Cream Ale,Bold City Brewery Killer Whale Cream Ale,"0,06"
Wild Night Honey Cream Ale,Swamp Head Brewery & Tasting Room Wild Night Honey Cream Ale,"0,06"
Grazias,Mike Hess Brewing Grazias,"0,06"
Henry Weinhard's Blue Boar Ale,Blitz-Weinhard Brewing Co. Henry Weinhard's Blue Boar Ale,"0,05"
Fallen Apple,Furthermore Beer Fallen Apple,"0,06"
Cosmic Cream Ale,Cameron's Brewing Co. Cream Ale,"0,05"
Canyon Cream Ale,Crow Peak Brewing Canyon Cream Ale,"0,05"
Cream Ale,Empire Brewing Company Cream Ale,"0,06"
Kitsilano Maple Cream Ale,Granville Island Brewery Kitsilano Maple Cream Ale,"0,05"
Première (Red),Bières de Chimay S.A. Chimay Première (Red),"0,07"
Maudite,Unibroue Maudite,"0,08"
Abbey Ale,Brewery Ommegang Ommegang (Abbey Ale),"0,08"
Westmalle Trappist Dubbel,Brouwerij Westmalle Westmalle Trappist Dubbel,"0,07"
Trappistes Rochefort 6,Brasserie de Rochefort Trappistes Rochefort 6,"0,08"
Prior 8,Brouwerij St. Bernardus NV St. Bernardus Prior 8,"0,08"
Abbey,New Belgium Brewing Abbey Belgian Style Ale,"0,07"
Trappist Westvleteren 8 (VIII)Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren) Trappist Westvleteren 8,"0,08"
Père Jacques,Goose Island Beer Co. Pere Jacques,"0,09"
Dubbel Ale,Allagash Brewing Company Allagash Dubbel Ale,"0,07"
Pater 6,Brouwerij St. Bernardus NV St. Bernardus Pater 6,"0,07"
Corsendonk Pater / Abbey Brown Ale,Brouwerij Corsendonk Corsendonk Pater / Abbey Brown Ale,"0,08"
Grimbergen Dubbel,Brouwerij Alken-Maes Grimbergen Dubbel,"0,07"
La Trappe Dubbel (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V. La Trappe Dubbel (Koningshoeven / Dominus),"0,07"
Trappist Achel 8° Bruin,Brouwerij der St. Benedictusabdij de Achelse Trappist Achel 8° Bruin,"0,08"
Lost & Found,The Lost Abbey Lost & Found Abbey Ale,"0,08"
Abbey Dubbel,Flying Fish Brewing Company Bourbon Barrel Abbey Dubbel,"0,07"
Bornem Double,Brouwerij Van Steenberge N.V. Bornem Dubbel,"0,08"
Affligem Dubbel,Brouwerij De Smedt / Brouwerij Affligem Affligem Dubbel,"0,07"
Abbey Ale,Abita Brewing Co. Abbey Ale,"0,08"
Resurrection,The Brewer's Art Brewer's Art Resurrection,"0,07"
Brother David's Belgian-style Double Ale,Anderson Valley Brewing Company Brother David's Belgian-style Double Ale,"0,09"
Brune,Brasserie de l'Abbaye du Val-Dieu Val-Dieu Brune,"0,08"
St. Feuillien Brune,Brasserie St. Feuillien St. Feuillien Brune,"0,09"
Siamese Twin Ale,Uncommon Brewers Siamese Twin Ale,"0,09"
Benediction,Russian River Brewing Company Benediction,"0,07"
Augustijn Donker Brune,Brouwerij Van Steenberge N.V. Augustijn Brune,"0,08"
St. Sebastiaan Dark,Brouwerij Sterkens N.V. St. Sebastiaan Dark,"0,07"
Brugse Zot Dubbel,Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan Brugse Zot Dubbel,"0,08"
Ovila Abbey Barrel Aged Dubbel,Sierra Nevada Brewing Co. Ovila Abbey Dubbel,"0,09"
Solitude,Brewery Vivant Solitude,"0,06"
Big Bison Ale,Crown Valley Brewing & Distilling Co. Big Bison Ale,"0,07"
St. Vincent's Dubbel,Captain Lawrence Brewing Co. St. Vincent's Dubbel,"0,08"
Brother Joseph's Belgian Dubbel,Straight To Ale Brother Joseph's Belgian Dubbel,"0,08"
Dark Abby,Devils Backbone Brewing Company Dark Abbey,"0,08"
St Martin Brune,Brasserie De Brunehaut St Martin Brune,"0,08"
Dominus Vobiscum Double,Microbrasserie Charlevoix Dominus Vobiscum Double,"0,08"
Evil 8° Belgian-Style Dubbel Ale,Blue Mountain Brewery Evil 8° Belgian-Style Dubbel Ale,"0,08"
Sterkens Dubbel Ale,Brouwerij Sterkens N.V. Sterkens Dubbel Ale,"0,07"
Natte,Brouwerij 't IJ Natte,"0,07"
Green's Endeavour Dubbel Dark Ale,Green's Gluten Free Beers Green's Endeavour,"0,07"
Oro De Calabaza,Jolly Pumpkin Artisan Ales Oro De Calabaza,"0,08"
Domaine DuPage French Style Country Ale,Two Brothers Brewing Company Domaine DuPage French Style Country Ale,"0,06"
